City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,campoverde,-8.4753,-74.8058,87.49,81,60,2.1,PE,1714949567
159,akureyri,65.6835,-18.0878,44.53,57,40,13.8,IS,1714949567
160,keflavik,64.0049,-22.5624,39.11,87,40,19.57,IS,1714949567
161,ruthen,51.4909,8.436,45.57,88,0,2.3,DE,1714949567
162,otjimbingwe,-22.35,16.1333,68.34,24,0,4.27,NA,1714949567
163,lhasa,29.65,91.1,39.47,89,100,1.54,CN,1714949567
164,usinsk,65.9939,57.5281,16.07,90,62,7.0,RU,1714949528
165,tangalle,6.024,80.7911,79.9,90,58,6.78,LK,1714949568
166,ugoofaaru,5.6667,73.0,85.03,79,92,10.69,MV,1714949568
167,poronaysk,49.2167,143.1167,33.26,100,100,8.12,RU,1714949568
168,sambava,-14.2667,50.1667,73.54,84,7,10.33,MG,1714949568
169,frinton-on-sea,51.8388,1.2463,53.1,89,50,5.35,GB,1714949568
170,gebeit,21.0667,36.3167,77.45,21,0,1.59,SD,1714949568
171,pocone,-16.2567,-56.6228,81.95,50,0,4.25,BR,1714949568
172,ariquemes,-9.9133,-63.0408,79.54,84,99,3.22,BR,1714949388
173,severo-yeniseyskiy,60.3725,93.0408,35.58,100,100,4.0,RU,1714949569
174,tuensang,26.2833,94.8333,56.97,97,96,3.98,IN,1714949569
175,kiama,-34.6833,150.8667,68.0,91,76,1.99,AU,1714949569
176,port alfred,-33.5906,26.891,69.37,57,23,10.56,ZA,1714949569
177,wailua homesteads,22.0669,-159.378,81.03,74,75,18.41,US,1714949569
178,veraval,20.9,70.3667,80.51,82,22,12.01,IN,1714949569
179,aras-asan,8.8908,126.3033,79.18,86,55,3.4,PH,1714949569
180,kerikeri,-35.2268,173.9474,63.91,93,95,1.01,NZ,1714949569
181,baotou,40.6522,109.8222,58.08,42,50,5.97,CN,1714949570
182,panjab,34.388,67.0233,36.86,61,0,3.78,AF,1714949570
183,vila franca do campo,37.7167,-25.4333,64.89,99,100,4.81,PT,1714949570
184,dongkan,33.9997,119.8308,59.99,90,64,9.37,CN,1714949570
185,zolochiv,49.806,24.8944,53.65,84,90,6.15,UA,1714949570
186,raahe,64.6833,24.4833,33.89,86,12,5.14,FI,1714949570
187,bilibino,68.0546,166.4372,28.4,64,7,1.54,RU,1714949570
188,devonport,-41.1667,146.35,50.52,82,81,5.7,AU,1714949571
189,san ignacio,17.1561,-89.0714,102.34,32,0,6.91,BZ,1714949421
190,rocha,-34.4833,-54.3333,66.02,97,100,4.09,UY,1714949366
191,vernon,50.2581,-119.2691,69.75,38,100,4.0,CA,1714949356
192,noosa heads,-26.3833,153.15,70.11,79,30,15.12,AU,1714949571
193,fort bragg,35.139,-79.006,77.14,85,100,5.75,US,1714949571
194,pasighat,28.0667,95.3333,68.99,66,100,2.62,IN,1714949571
195,prince george,53.9166,-122.753,67.44,31,75,10.36,CA,1714949497
196,mirnyy,62.5353,113.9611,26.24,89,11,1.99,RU,1714949572
